Sample_ID,Date,Latitude,Longitude,Density_Score,Sampling_Method,Ocean,Marine_Setting,Concentration_Class,Velocity_E,Velocity_N,Velocity_E_Norm,Velocity_N_Norm,Day_Sin,Day_Cos,Lunar_Phase,Sampling_Method_Day grab,Sampling_Method_Hand picking,Sampling_Method_Manta net,Sampling_Method_Neuston net,Marine_Setting_Beach-Nurdle Patrol,Marine_Setting_Ocean sediment,Marine_Setting_Ocean water,CMEMS_U,CMEMS_V,Node_Cluster_ID
21112,2022-05-02,29.1824,-94.9705,5.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.120360106,-0.025954993,-0.5530299,-0.14882037,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10620441287755966,-0.07690664380788803,39
21113,2022-05-02,29.2158,-94.9145,2.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,0.029806152,-0.10818132,0.12918036,-0.5736672,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,36
21114,2022-05-02,29.1824,-94.9706,8.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.120360106,-0.025954993,-0.5530299,-0.14882037,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10620441287755966,-0.07690664380788803,39
21115,2022-05-02,29.1824,-94.9705,5.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.120360106,-0.025954993,-0.5530299,-0.14882037,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10620441287755966,-0.07690664380788803,39
21116,2022-05-02,29.2158,-94.9147,3.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,0.029806152,-0.10818132,0.12918036,-0.5736672,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,36
21117,2022-05-02,29.1824,-94.9703,3.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.120360106,-0.025954993,-0.5530299,-0.14882037,0.8638670987837349,-0.503719798736334,-0.2776787921098139,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10620441287755966,-0.07690664380788803,39
21124,2022-05-03,29.1956,-94.9483,20.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.13889328,-0.08931177,-0.6372267,-0.4761721,0.8550745085896932,-0.518505144391157,-0.47427975251641186,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10559404268860817,-0.09399700909852982,0
21125,2022-05-03,29.1956,-94.9483,29.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.13889328,-0.08931177,-0.6372267,-0.4761721,0.8550745085896932,-0.518505144391157,-0.47427975251641186,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10559404268860817,-0.09399700909852982,0
21126,2022-05-03,29.1959,-94.9478,48.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,High,-0.13889328,-0.08931177,-0.6372267,-0.4761721,0.8550745085896932,-0.518505144391157,-0.47427975251641186,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10559404268860817,-0.09399700909852982,0
21127,2022-05-03,29.1958,-94.9478,24.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.13889328,-0.08931177,-0.6372267,-0.4761721,0.8550745085896932,-0.518505144391157,-0.47427975251641186,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10559404268860817,-0.09399700909852982,0
21128,2022-05-03,29.1961,-94.9475,43.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,High,-0.13889328,-0.08931177,-0.6372267,-0.4761721,0.8550745085896932,-0.518505144391157,-0.47427975251641186,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10559404268860817,-0.09399700909852982,0
21154,2022-05-03,29.1894,-94.9578,15.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.19025497,-0.10518847,-0.8705646,-0.55820376,0.8550745085896932,-0.518505144391157,-0.47427975251641186,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10559404268860817,-0.09399700909852982,27
21156,2022-04-30,29.2902,-94.7873,3.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.111092374,-0.10778919,-0.5109263,-0.57164115,0.8806828564301475,-0.47370635037968,0.1436615603083365,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.08178960531949997,-0.06286812946200371,11
21165,2022-04-30,29.334,-94.7818,1.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Low,-0.08032694,-0.08790241,-0.37115788,-0.4688902,0.8806828564301475,-0.47370635037968,0.1436615603083365,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.03784295171499252,-0.062257759273052216,31
21187,2022-04-30,29.1957,-94.9479,4.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.111092374,-0.10778919,-0.5109263,-0.57164115,0.8806828564301475,-0.47370635037968,0.1436615603083365,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.05005035549402237,-0.08178960531949997,0
21240,2022-05-04,29.1216,-95.0679,1.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Low,-0.17023966,-0.18794039,-0.77963436,-0.98576623,0.8460288880917339,-0.533137056031809,-0.6494906993528943,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.079348124563694,-0.07507553324103355,20
21246,2022-05-04,29.1211,-95.069,1.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Low,-0.17023966,-0.18794039,-0.77963436,-0.98576623,0.8460288880917339,-0.533137056031809,-0.6494906993528943,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.079348124563694,-0.07507553324103355,20
21247,2022-04-30,29.3069,-94.7643,2.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.111092374,-0.10778919,-0.5109263,-0.57164115,0.8806828564301475,-0.47370635037968,0.1436615603083365,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.03784295171499252,-0.062257759273052216,28
21266,2022-04-29,29.2569,-94.8429,2.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.16631362,-0.0304563,-0.7617982,-0.1720777,0.8887010478292915,-0.45848712914008766,0.3493985053293877,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,30
21267,2022-05-01,29.2569,-94.8429,2.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Medium,-0.19129251,-0.27795765,-0.8752781,-1.4508673,0.8724040568049612,-0.48878539428899265,-0.0685545200926146,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,30
21268,2022-05-01,29.2569,-94.8429,1.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Low,-0.19129251,-0.27795765,-0.8752781,-1.4508673,0.8724040568049612,-0.48878539428899265,-0.0685545200926146,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,30
21269,2022-05-01,29.2569,-94.8429,1.0,Hand picking,Atlantic Ocean,Beach-Nurdle Patrol,Low,-0.19129251,-0.27795765,-0.8752781,-1.4508673,0.8724040568049612,-0.48878539428899265,-0.0685545200926146,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,30
